path	category	size	extension	sha256
backups/hermes-temporary/config-20260808T235720-586933Z.yaml	HISTORICAL_BACKUP	9403	.yaml	436da2a229114b6848ddc76f959d54bcd63017f4f93eb015d7e323976274c30b
backups/hermes-temporary/config-20260809T003727-962717Z.yaml	HISTORICAL_BACKUP	9403	.yaml	436da2a229114b6848ddc76f959d54bcd63017f4f93eb015d7e323976274c30b
backups/hermes-temporary/config-20260809T003924-352639Z.yaml	HISTORICAL_BACKUP	9403	.yaml	436da2a229114b6848ddc76f959d54bcd63017f4f93eb015d7e323976274c30b
backups/hermes-temporary/config-20260809T003924-545949Z.yaml	HISTORICAL_BACKUP	9403	.yaml	436da2a229114b6848ddc76f959d54bcd63017f4f93eb015d7e323976274c30b
backups/hermes-temporary/config-20260809T004116-391770Z.yaml	HISTORICAL_BACKUP	9403	.yaml	436da2a229114b6848ddc76f959d54bcd63017f4f93eb015d7e323976274c30b
backups/hermes-temporary/config-20260809T004459-946440Z.yaml	HISTORICAL_BACKUP	9403	.yaml	436da2a229114b6848ddc76f959d54bcd63017f4f93eb015d7e323976274c30b
backups/hermes-temporary/config-20260809T004500-160097Z.yaml	HISTORICAL_BACKUP	9403	.yaml	436da2a229114b6848ddc76f959d54bcd63017f4f93eb015d7e323976274c30b
backups/hermes-temporary/config-20260809T122721-072654Z.yaml	HISTORICAL_BACKUP	9414	.yaml	be5c33517d8edd8a55694408b1cc71f6aa9460aa589e41cb703a2efbeed9e9b0
backups/hermes-temporary/config-20260809T122721-159199Z.yaml	HISTORICAL_BACKUP	9414	.yaml	be5c33517d8edd8a55694408b1cc71f6aa9460aa589e41cb703a2efbeed9e9b0
backups/hermes-temporary/config-20260809T122721-267716Z.yaml	HISTORICAL_BACKUP	9414	.yaml	be5c33517d8edd8a55694408b1cc71f6aa9460aa589e41cb703a2efbeed9e9b0
backups/hermes-temporary/config-20260812T190459-966277Z.yaml	HISTORICAL_BACKUP	9403	.yaml	436da2a229114b6848ddc76f959d54bcd63017f4f93eb015d7e323976274c30b
backups/hermes-temporary/config-20260812T192606-700379Z.yaml	HISTORICAL_BACKUP	9399	.yaml	cfe76640c14423ee3c2e40f841d3d819a6260833454519c7a614261a05241ad9
backups/hermes-temporary/config-20260812T214621-664392Z.yaml	HISTORICAL_BACKUP	9399	.yaml	cfe76640c14423ee3c2e40f841d3d819a6260833454519c7a614261a05241ad9
backups/hermes-temporary/config-20260812T215843-433847Z.yaml	HISTORICAL_BACKUP	9399	.yaml	cfe76640c14423ee3c2e40f841d3d819a6260833454519c7a614261a05241ad9
backups/hermes-temporary/config-20260812T220923-441512Z.yaml	HISTORICAL_BACKUP	9399	.yaml	cfe76640c14423ee3c2e40f841d3d819a6260833454519c7a614261a05241ad9
backups/hermes-temporary/config-20260812T221811-996219Z.yaml	HISTORICAL_BACKUP	9399	.yaml	cfe76640c14423ee3c2e40f841d3d819a6260833454519c7a614261a05241ad9
backups/hermes-temporary/config-20260812T223532-781983Z.yaml	HISTORICAL_BACKUP	9399	.yaml	cfe76640c14423ee3c2e40f841d3d819a6260833454519c7a614261a05241ad9
backups/hermes-temporary/config-20260812T232237-725387Z.yaml	HISTORICAL_BACKUP	9399	.yaml	cfe76640c14423ee3c2e40f841d3d819a6260833454519c7a614261a05241ad9
backups/hermes-temporary/config-20260812T233613-411059Z.yaml	HISTORICAL_BACKUP	9399	.yaml	cfe76640c14423ee3c2e40f841d3d819a6260833454519c7a614261a05241ad9
backups/hermes-temporary/config-20260812T234758-870476Z.yaml	HISTORICAL_BACKUP	9399	.yaml	cfe76640c14423ee3c2e40f841d3d819a6260833454519c7a614261a05241ad9
backups/live-spring-rehearsal/active-before-live-spring-20260809T115355Z.yaml	HISTORICAL_BACKUP	579	.yaml	7904bc802fee0eadae5075c04f3df8359a0e44640da425fbdd62d28356dc9b60
backups/live-spring-rehearsal/config-before-live-spring-20260809T115355Z.yaml	HISTORICAL_BACKUP	9403	.yaml	436da2a229114b6848ddc76f959d54bcd63017f4f93eb015d7e323976274c30b
backups/phase12-final/active-before-phase12-20260809T122720Z.yaml	HISTORICAL_BACKUP	579	.yaml	7904bc802fee0eadae5075c04f3df8359a0e44640da425fbdd62d28356dc9b60
backups/phase12-final/config-before-phase12-20260809T122720Z.yaml	HISTORICAL_BACKUP	9403	.yaml	436da2a229114b6848ddc76f959d54bcd63017f4f93eb015d7e323976274c30b
backups/phase14_10D_20260810T100858Z/runtime/adapters/base.py	HISTORICAL_BACKUP	3061	.py	a88bbfa3edada2d75a7e99c11d06813d5080bd9809dae9aee0e9353a88c44a99
backups/phase14_10D_20260810T100858Z/runtime/adapters/hermes.py	HISTORICAL_BACKUP	43492	.py	45987656ad99c95e2fafebad9ed965ce81b583629a318292d165d8f664e1e728
backups/phase14_10E1A_20260810T121504Z/reasoning/__init__.py	HISTORICAL_BACKUP	652	.py	8b6d248dd057d467e4f3e52eea4bbdcc95f46854f8659ecfa3bce767dc51459e
backups/phase14_10E1A_20260810T121504Z/reasoning/model.py	HISTORICAL_BACKUP	3810	.py	74193637079c2c23424b36c62b4512e5073c392f22ee6b18edc6aad6cb177edb
backups/phase14_10E1A_20260810T121504Z/reasoning/router.py	HISTORICAL_BACKUP	7836	.py	c1e9779adc07b778ab3fb422aa929576dbbb451493ad3b338b04cd8b3e0f25df
backups/phase14_10E1A_20260810T121504Z/runtime/adapters/hermes.py	HISTORICAL_BACKUP	45082	.py	b0756eabed41186cfe65aac04495f6f16746b8198ad189d8100f0d3fe6af6b2e
backups/phase14_10E1B1_20260810T124742Z/control.py	HISTORICAL_BACKUP	13826	.py	622f2da0df706fcab200310a17a0180caa51324d6769e7893b16227ea66dbf31
backups/phase14_10E1B2_20260810T125049Z/task_session.py	HISTORICAL_BACKUP	186208	.py	86ec695e1cd0ded7e183b06832b92c29893ee6d7a772ca06881a163d328bd630
backups/phase14_10E1B_20260810T123215Z/reasoning/control.py	HISTORICAL_BACKUP	13826	.py	622f2da0df706fcab200310a17a0180caa51324d6769e7893b16227ea66dbf31
